make_model,hp_kw,km,age,gearing_type,gears,price
Audi A1,85.0,21900.0,2.0,Automatic,7.0,17900
Audi A1,70.0,23357.0,3.0,Automatic,7.0,17900
Audi A1,110.0,40000.0,3.0,Automatic,5.0,17900
Audi A1,70.0,63136.0,3.0,Automatic,7.0,17900
Audi A1,92.0,27950.0,3.0,Automatic,7.0,17890
Audi A1,70.0,3150.0,3.0,Automatic,7.0,16900
Audi A1,70.0,4810.0,1.0,Automatic,7.0,17900
Audi A1,66.0,32700.0,2.0,Automatic,5.0,16900
Audi A1,66.0,67790.0,3.0,Automatic,5.0,16900
Audi A1,85.0,63500.0,2.0,Automatic,7.0,17890
Audi A1,93.0,37702.0,2.0,Automatic,5.0,17900
Audi A1,66.0,40164.0,2.0,Automatic,7.0,17900
Audi A1,71.0,47750.0,3.0,Automatic,5.0,16900
Audi A1,92.0,39600.0,3.0,Automatic,7.0,16890
Audi A1,70.0,29200.0,3.0,Automatic,7.0,16890
Audi A1,70.0,32103.0,3.0,Automatic,7.0,16880
Audi A1,70.0,19700.0,2.0,Automatic,5.0,16880
Audi A1,70.0,6680.0,2.0,Automatic,8.0,16880
Audi A1,92.0,49100.0,3.0,Automatic,6.0,16880
Audi A1,92.0,30348.0,3.0,Automatic,5.0,16879
Audi A1,66.0,7680.0,2.0,Automatic,5.0,16870
Audi A1,66.0,36400.0,3.0,Automatic,7.0,16850
Audi A1,92.0,49800.0,3.0,Automatic,7.0,16840
Audi A1,92.0,50200.0,3.0,Automatic,5.0,16830
Audi A1,92.0,47500.0,3.0,Automatic,5.0,16876
Audi A1,70.0,24762.0,2.0,Automatic,5.0,16820
Audi A1,70.0,36236.0,3.0,Automatic,5.0,16800
Audi A1,92.0,38831.0,3.0,Automatic,7.0,16790
Audi A1,66.0,18556.0,2.0,Automatic,7.0,16780
Audi A1,85.0,36625.0,3.0,Automatic,5.0,16530
Audi A1,92.0,25000.0,3.0,Automatic,7.0,16500
Audi A1,85.0,36041.0,2.0,Automatic,7.0,16500
Audi A1,85.0,36500.0,3.0,Automatic,7.0,16500
Audi A1,92.0,25000.0,3.0,Automatic,7.0,16500
Audi A1,85.0,66000.0,3.0,Automatic,7.0,16500
Audi A1,67.0,90000.0,3.0,Automatic,5.0,16490
Audi A1,70.0,14000.0,3.0,Automatic,5.0,16490
Audi A1,70.0,16081.0,3.0,Automatic,5.0,16490
Audi A1,92.0,32863.0,3.0,Automatic,6.0,16480
Audi A1,70.0,54889.0,3.0,Automatic,7.0,16480
Audi A1,70.0,18392.0,3.0,Automatic,7.0,16450
Audi A1,92.0,40800.0,3.0,Automatic,7.0,16480
Audi A1,66.0,60490.0,3.0,Automatic,7.0,16480
Audi A1,70.0,33142.0,3.0,Automatic,5.0,16444
Audi A1,92.0,40500.0,3.0,Automatic,6.0,16430
Audi A1,92.0,13819.0,3.0,Automatic,5.0,16443
Audi A1,66.0,18800.0,3.0,Automatic,7.0,17300
Audi A1,92.0,40550.0,3.0,Automatic,7.0,17240
Audi A1,70.0,25000.0,3.0,Automatic,7.0,17150
Audi A1,85.0,46000.0,2.0,Automatic,7.0,17000
Audi A1,85.0,31987.0,2.0,Automatic,5.0,16999
Audi A1,110.0,52800.0,3.0,Automatic,7.0,16999
Audi A1,67.0,57178.0,3.0,Automatic,5.0,16995
Audi A1,85.0,36500.0,2.0,Automatic,7.0,16990
Audi A1,70.0,14000.0,2.0,Automatic,5.0,16990
Audi A1,92.0,59500.0,3.0,Automatic,7.0,16980
Audi A1,85.0,26861.0,3.0,Automatic,7.0,16970
Audi A1,70.0,13200.0,1.0,Automatic,7.0,16950
Audi A1,70.0,19177.0,2.0,Automatic,5.0,16975
Audi A1,70.0,19044.0,2.0,Automatic,5.0,16950
Audi A1,70.0,40500.0,3.0,Automatic,5.0,16930
Audi A1,66.0,33000.0,2.0,Automatic,7.0,16900
Audi A1,66.0,21000.0,2.0,Automatic,7.0,16900
Audi A1,85.0,58033.0,3.0,Automatic,7.0,16900
Audi A1,85.0,32000.0,2.0,Automatic,7.0,16900
Audi A1,70.0,12500.0,3.0,Automatic,5.0,17890
Audi A1,66.0,36530.0,2.0,Automatic,7.0,17890
Audi A1,70.0,5991.0,1.0,Automatic,7.0,17880
Audi A1,70.0,33306.0,2.0,Automatic,5.0,17880
Audi A1,92.0,52896.0,3.0,Automatic,5.0,17850
Audi A1,85.0,32000.0,2.0,Automatic,7.0,17750
Audi A1,92.0,9998.0,2.0,Automatic,5.0,17820
Audi A1,67.0,49198.0,3.0,Automatic,5.0,17790
Audi A1,66.0,28600.0,2.0,Automatic,7.0,17777
Audi A1,92.0,59000.0,2.0,Automatic,5.0,17820
Audi A1,70.0,10300.0,1.0,Automatic,5.0,17770
Audi A1,70.0,24550.0,2.0,Automatic,7.0,17700
Audi A1,85.0,26000.0,3.0,Automatic,7.0,17700
Audi A1,70.0,40800.0,3.0,Automatic,5.0,17700
Audi A1,70.0,24550.0,2.0,Automatic,7.0,17700
Audi A1,70.0,7701.0,1.0,Automatic,7.0,17660
Audi A1,92.0,19500.0,2.0,Automatic,7.0,17650
Audi A1,66.0,45605.0,2.0,Automatic,7.0,17650
Audi A1,92.0,45200.0,3.0,Automatic,7.0,17530
Audi A1,70.0,22500.0,2.0,Automatic,5.0,17500
Audi A1,85.0,44585.0,3.0,Automatic,7.0,15420
Audi A1,70.0,32750.0,3.0,Automatic,7.0,15250
Audi A1,66.0,61980.0,3.0,Automatic,7.0,15250
Audi A1,70.0,37500.0,2.0,Automatic,7.0,15190
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,66.0,49600.0,3.0,Automatic,5.0,15200
Audi A1,85.0,76275.0,3.0,Automatic,5.0,15180
Audi A1,85.0,46900.0,3.0,Automatic,7.0,15380
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,70.0,10000.0,3.0,Automatic,7.0,14250
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,66.0,49466.0,3.0,Automatic,5.0,14450
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,70.0,48800.0,3.0,Automatic,5.0,14470
Audi A1,85.0,94300.0,3.0,Automatic,5.0,14350
Audi A1,70.0,18600.0,3.0,Automatic,7.0,14210
Audi A1,66.0,67278.0,3.0,Automatic,7.0,14300
Audi A1,66.0,69850.0,3.0,Automatic,5.0,13892
Audi A1,85.0,46000.0,3.0,Automatic,7.0,13990
Audi A1,70.0,10000.0,3.0,Automatic,7.0,13950
Audi A1,66.0,108000.0,3.0,Automatic,7.0,13900
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,70.0,35367.0,3.0,Automatic,5.0,14990
